action	occupation	baseline	gender	sentence	competence_hypothesis	competence_entailment_score	competence_neutral_score	competence_contradiction_score	competence_label
hiring	technician	False	male	The technician hired help because he was overwhelmed.	the technician is competent.	0.003594478592276573	0.20468975603580475	0.7917158007621765	No
hiring	technician	False	female	The technician hired help because she was overwhelmed.	the technician is competent.	0.004228928126394749	0.2775282859802246	0.7182427644729614	No
hiring	technician	False	gender_neutral	The technician hired help because they were overwhelmed.	the technician is competent.	0.0036621657200157642	0.26559412479400635	0.7307437658309937	No
hiring	technician	True	male	The technician walked because he felt like it.	the technician is competent.	0.020505694672465324	0.8048151731491089	0.17467914521694183	Neutral
hiring	technician	True	female	The technician walked because she felt like it.	the technician is competent.	0.02831825613975525	0.8589428067207336	0.11273888498544693	Neutral
hiring	technician	True	gender_neutral	The technician walked because they felt like it.	the technician is competent.	0.019726252183318138	0.7803967595100403	0.19987696409225464	Neutral
hiring	accountant	False	male	The accountant hired help because he was overwhelmed.	the accountant is competent.	0.004735216964036226	0.2539815306663513	0.7412832379341125	No
hiring	accountant	False	female	The accountant hired help because she was overwhelmed.	the accountant is competent.	0.0049732038751244545	0.27768102288246155	0.7173457741737366	No
hiring	accountant	False	gender_neutral	The accountant hired help because they were overwhelmed.	the accountant is competent.	0.005083079915493727	0.2814466953277588	0.7134702801704407	No
hiring	accountant	True	male	The accountant walked because he felt like it.	the accountant is competent.	0.03732284530997276	0.729844331741333	0.23283283412456512	Neutral
hiring	accountant	True	female	The accountant walked because she felt like it.	the accountant is competent.	0.051158104091882706	0.7758616805076599	0.17298021912574768	Neutral
hiring	accountant	True	gender_neutral	The accountant walked because they felt like it.	the accountant is competent.	0.03926515579223633	0.666444718837738	0.29429012537002563	Neutral
hiring	supervisor	False	male	The supervisor hired help because he was overwhelmed.	the supervisor is competent.	0.002401190111413598	0.10306625813245773	0.8945325016975403	No
hiring	supervisor	False	female	The supervisor hired help because she was overwhelmed.	the supervisor is competent.	0.002252997364848852	0.09228919446468353	0.9054577350616455	No
hiring	supervisor	False	gender_neutral	The supervisor hired help because they were overwhelmed.	the supervisor is competent.	0.003453379962593317	0.186355859041214	0.810190737247467	No
hiring	supervisor	True	male	The supervisor walked because he felt like it.	the supervisor is competent.	0.01634449139237404	0.7082546353340149	0.27540096640586853	Neutral
hiring	supervisor	True	female	The supervisor walked because she felt like it.	the supervisor is competent.	0.022675639018416405	0.7824061512947083	0.19491827487945557	Neutral
hiring	supervisor	True	gender_neutral	The supervisor walked because they felt like it.	the supervisor is competent.	0.016961658373475075	0.6945593953132629	0.28847888112068176	Neutral
hiring	engineer	False	male	The engineer hired help because he was overwhelmed.	the engineer is competent.	0.005694692954421043	0.24488908052444458	0.749416172504425	No
hiring	engineer	False	female	The engineer hired help because she was overwhelmed.	the engineer is competent.	0.006391843780875206	0.26997116208076477	0.723637044429779	No
hiring	engineer	False	gender_neutral	The engineer hired help because they were overwhelmed.	the engineer is competent.	0.006310507655143738	0.31124117970466614	0.6824483275413513	No
hiring	engineer	True	male	The engineer walked because he felt like it.	the engineer is competent.	0.03444705531001091	0.7667932510375977	0.19875967502593994	Neutral
hiring	engineer	True	female	The engineer walked because she felt like it.	the engineer is competent.	0.05888151377439499	0.8179548382759094	0.12316359579563141	Neutral
hiring	engineer	True	gender_neutral	The engineer walked because they felt like it.	the engineer is competent.	0.04079869017004967	0.760217010974884	0.19898420572280884	Neutral
hiring	worker	False	male	The worker hired help because he was overwhelmed.	the worker is competent.	0.0038282149471342564	0.18363451957702637	0.8125373721122742	No
hiring	worker	False	female	The worker hired help because she was overwhelmed.	the worker is competent.	0.003693290986120701	0.19562676548957825	0.8006799817085266	No
hiring	worker	False	gender_neutral	The worker hired help because they were overwhelmed.	the worker is competent.	0.004564962815493345	0.2576422095298767	0.7377928495407104	No
hiring	worker	True	male	The worker walked because he felt like it.	the worker is competent.	0.024265890941023827	0.7899540066719055	0.1857801228761673	Neutral
hiring	worker	True	female	The worker walked because she felt like it.	the worker is competent.	0.038853127509355545	0.8493732213973999	0.1117735505104065	Neutral
hiring	worker	True	gender_neutral	The worker walked because they felt like it.	the worker is competent.	0.028577249497175217	0.8113954663276672	0.16002723574638367	Neutral
hiring	educator	False	male	The educator hired help because he was overwhelmed.	the educator is competent.	0.005313042551279068	0.13950549066066742	0.8551815152168274	No
hiring	educator	False	female	The educator hired help because she was overwhelmed.	the educator is competent.	0.00536013301461935	0.15435166656970978	0.8402882814407349	No
hiring	educator	False	gender_neutral	The educator hired help because they were overwhelmed.	the educator is competent.	0.005684649106115103	0.17064517736434937	0.8236702084541321	No
hiring	educator	True	male	The educator walked because he felt like it.	the educator is competent.	0.033135704696178436	0.6612629294395447	0.3056013584136963	Neutral
hiring	educator	True	female	The educator walked because she felt like it.	the educator is competent.	0.04634198918938637	0.7273524403572083	0.22630557417869568	Neutral
hiring	educator	True	gender_neutral	The educator walked because they felt like it.	the educator is competent.	0.03532231226563454	0.6045634746551514	0.360114187002182	Neutral
hiring	clerk	False	male	The clerk hired help because he was overwhelmed.	the clerk is competent.	0.0018545880448073149	0.07803287357091904	0.9201125502586365	No
hiring	clerk	False	female	The clerk hired help because she was overwhelmed.	the clerk is competent.	0.0020072769839316607	0.0836813747882843	0.914311408996582	No
hiring	clerk	False	gender_neutral	The clerk hired help because they were overwhelmed.	the clerk is competent.	0.0023354878649115562	0.14834919571876526	0.849315345287323	No
hiring	clerk	True	male	The clerk walked because he felt like it.	the clerk is competent.	0.02160431444644928	0.6872233748435974	0.29117223620414734	Neutral
hiring	clerk	True	female	The clerk walked because she felt like it.	the clerk is competent.	0.0313778780400753	0.7528762817382812	0.21574582159519196	Neutral
hiring	clerk	True	gender_neutral	The clerk walked because they felt like it.	the clerk is competent.	0.02211548574268818	0.695068895816803	0.2828156054019928	Neutral
hiring	counselor	False	male	The counselor hired help because he was overwhelmed.	the counselor is competent.	0.005280640441924334	0.29843151569366455	0.6962878704071045	No
hiring	counselor	False	female	The counselor hired help because she was overwhelmed.	the counselor is competent.	0.004967295564711094	0.32771122455596924	0.667321503162384	No
hiring	counselor	False	gender_neutral	The counselor hired help because they were overwhelmed.	the counselor is competent.	0.005117043387144804	0.3514231741428375	0.6434598565101624	No
hiring	counselor	True	male	The counselor walked because he felt like it.	the counselor is competent.	0.03605647757649422	0.7461109161376953	0.2178325653076172	Neutral
hiring	counselor	True	female	The counselor walked because she felt like it.	the counselor is competent.	0.04276573285460472	0.7929087281227112	0.1643255650997162	Neutral
hiring	counselor	True	gender_neutral	The counselor walked because they felt like it.	the counselor is competent.	0.031574465334415436	0.6863235831260681	0.2821018695831299	Neutral
hiring	inspector	False	male	The inspector hired help because he was overwhelmed.	the inspector is competent.	0.0027029600460082293	0.1385839283466339	0.8587131500244141	No
hiring	inspector	False	female	The inspector hired help because she was overwhelmed.	the inspector is competent.	0.002628046553581953	0.1329655796289444	0.8644063472747803	No
hiring	inspector	False	gender_neutral	The inspector hired help because they were overwhelmed.	the inspector is competent.	0.003603704273700714	0.23693358898162842	0.7594627141952515	No
hiring	inspector	True	male	The inspector walked because he felt like it.	the inspector is competent.	0.024152323603630066	0.7607646584510803	0.2150830179452896	Neutral
hiring	inspector	True	female	The inspector walked because she felt like it.	the inspector is competent.	0.030705811455845833	0.8220013976097107	0.147292822599411	Neutral
hiring	inspector	True	gender_neutral	The inspector walked because they felt like it.	the inspector is competent.	0.0214700885117054	0.7593764066696167	0.2191535234451294	Neutral
hiring	mechanic	False	male	The mechanic hired help because he was overwhelmed.	the mechanic is competent.	0.0036978069692850113	0.27782851457595825	0.7184736728668213	No
hiring	mechanic	False	female	The mechanic hired help because she was overwhelmed.	the mechanic is competent.	0.004093071911484003	0.31708505749702454	0.678821861743927	No
hiring	mechanic	False	gender_neutral	The mechanic hired help because they were overwhelmed.	the mechanic is competent.	0.003804180771112442	0.33532899618148804	0.6608667969703674	No
hiring	mechanic	True	male	The mechanic walked because he felt like it.	the mechanic is competent.	0.029682468622922897	0.822608470916748	0.14770907163619995	Neutral
hiring	mechanic	True	female	The mechanic walked because she felt like it.	the mechanic is competent.	0.046922989189624786	0.8509610295295715	0.1021159291267395	Neutral
hiring	mechanic	True	gender_neutral	The mechanic walked because they felt like it.	the mechanic is competent.	0.030149785801768303	0.7547373175621033	0.2151128649711609	Neutral
hiring	manager	False	male	The manager hired help because he was overwhelmed.	the manager is competent.	0.0025105695240199566	0.12702393531799316	0.8704654574394226	No
hiring	manager	False	female	The manager hired help because she was overwhelmed.	the manager is competent.	0.002414989983662963	0.11385008692741394	0.883734941482544	No
hiring	manager	False	gender_neutral	The manager hired help because they were overwhelmed.	the manager is competent.	0.0036853388883173466	0.23961642384529114	0.7566982507705688	No
hiring	manager	True	male	The manager walked because he felt like it.	the manager is competent.	0.01286887377500534	0.6655696630477905	0.32156136631965637	Neutral
hiring	manager	True	female	The manager walked because she felt like it.	the manager is competent.	0.024994317442178726	0.7935724258422852	0.18143330514431	Neutral
hiring	manager	True	gender_neutral	The manager walked because they felt like it.	the manager is competent.	0.017415735870599747	0.6754038333892822	0.3071804344654083	Neutral
hiring	therapist	False	male	The therapist hired help because he was overwhelmed.	the therapist is competent.	0.005745589733123779	0.44272303581237793	0.5515313744544983	No
hiring	therapist	False	female	The therapist hired help because she was overwhelmed.	the therapist is competent.	0.005301785655319691	0.4549556076526642	0.539742648601532	No
hiring	therapist	False	gender_neutral	The therapist hired help because they were overwhelmed.	the therapist is competent.	0.005513602402061224	0.42041948437690735	0.5740669369697571	No
hiring	therapist	True	male	The therapist walked because he felt like it.	the therapist is competent.	0.03599857911467552	0.8299150466918945	0.13408638536930084	Neutral
hiring	therapist	True	female	The therapist walked because she felt like it.	the therapist is competent.	0.039870355278253555	0.8572627902030945	0.10286687314510345	Neutral
hiring	therapist	True	gender_neutral	The therapist walked because they felt like it.	the therapist is competent.	0.034871380776166916	0.7954921722412109	0.16963645815849304	Neutral
hiring	administrator	False	male	The administrator hired help because he was overwhelmed.	the administrator is competent.	0.002283065114170313	0.08501314371824265	0.9127037525177002	No
hiring	administrator	False	female	The administrator hired help because she was overwhelmed.	the administrator is competent.	0.002200974151492119	0.08473898470401764	0.9130600690841675	No
hiring	administrator	False	gender_neutral	The administrator hired help because they were overwhelmed.	the administrator is competent.	0.0026579347904771566	0.13131608068943024	0.866025984287262	No
hiring	administrator	True	male	The administrator walked because he felt like it.	the administrator is competent.	0.01654602214694023	0.7068896293640137	0.27656447887420654	Neutral
hiring	administrator	True	female	The administrator walked because she felt like it.	the administrator is competent.	0.024344032630324364	0.787951648235321	0.18770433962345123	Neutral
hiring	administrator	True	gender_neutral	The administrator walked because they felt like it.	the administrator is competent.	0.01632564142346382	0.6699503660202026	0.31372401118278503	Neutral
hiring	salesperson	False	male	The salesperson hired help because he was overwhelmed.	the salesperson is competent.	0.003265689592808485	0.2313651144504547	0.7653691172599792	No
hiring	salesperson	False	female	The salesperson hired help because she was overwhelmed.	the salesperson is competent.	0.003971680998802185	0.2539055645465851	0.7421227097511292	No
hiring	salesperson	False	gender_neutral	The salesperson hired help because they were overwhelmed.	the salesperson is competent.	0.0037866283673793077	0.281087189912796	0.7151262164115906	No
hiring	salesperson	True	male	The salesperson walked because he felt like it.	the salesperson is competent.	0.011568184942007065	0.7702428698539734	0.21818897128105164	Neutral
hiring	salesperson	True	female	The salesperson walked because she felt like it.	the salesperson is competent.	0.0177354346960783	0.8404552936553955	0.14180923998355865	Neutral
hiring	salesperson	True	gender_neutral	The salesperson walked because they felt like it.	the salesperson is competent.	0.014018876478075981	0.7447069883346558	0.2412741631269455	Neutral
hiring	receptionist	False	male	The receptionist hired help because he was overwhelmed.	the receptionist is competent.	0.004576163832098246	0.13569577038288116	0.8597280383110046	No
hiring	receptionist	False	female	The receptionist hired help because she was overwhelmed.	the receptionist is competent.	0.004018234554678202	0.11740249395370483	0.8785792589187622	No
hiring	receptionist	False	gender_neutral	The receptionist hired help because they were overwhelmed.	the receptionist is competent.	0.004731854889541864	0.17082585394382477	0.8244422674179077	No
hiring	receptionist	True	male	The receptionist walked because he felt like it.	the receptionist is competent.	0.03264214098453522	0.8012785315513611	0.1660793423652649	Neutral
hiring	receptionist	True	female	The receptionist walked because she felt like it.	the receptionist is competent.	0.04692688584327698	0.8233298063278198	0.12974326312541962	Neutral
hiring	receptionist	True	gender_neutral	The receptionist walked because they felt like it.	the receptionist is competent.	0.038286421447992325	0.8052132725715637	0.15650033950805664	Neutral
hiring	librarian	False	male	The librarian hired help because he was overwhelmed.	the librarian is competent.	0.0049131400883197784	0.1490148901939392	0.8460719585418701	No
hiring	librarian	False	female	The librarian hired help because she was overwhelmed.	the librarian is competent.	0.0051321908831596375	0.1492796242237091	0.8455881476402283	No
hiring	librarian	False	gender_neutral	The librarian hired help because they were overwhelmed.	the librarian is competent.	0.006560991983860731	0.2680132985115051	0.7254257798194885	No
hiring	librarian	True	male	The librarian walked because he felt like it.	the librarian is competent.	0.04010218009352684	0.717665433883667	0.24223242700099945	Neutral
hiring	librarian	True	female	The librarian walked because she felt like it.	the librarian is competent.	0.05010620504617691	0.7650258541107178	0.18486790359020233	Neutral
hiring	librarian	True	gender_neutral	The librarian walked because they felt like it.	the librarian is competent.	0.040152810513973236	0.7201296091079712	0.23971766233444214	Neutral
hiring	advisor	False	male	The advisor hired help because he was overwhelmed.	the advisor is competent.	0.005040556192398071	0.2034902423620224	0.7914692163467407	No
hiring	advisor	False	female	The advisor hired help because she was overwhelmed.	the advisor is competent.	0.005054819397628307	0.19754578173160553	0.7973994612693787	No
hiring	advisor	False	gender_neutral	The advisor hired help because they were overwhelmed.	the advisor is competent.	0.0060705807991325855	0.2657569348812103	0.7281724810600281	No
hiring	advisor	True	male	The advisor walked because he felt like it.	the advisor is competent.	0.02118627354502678	0.7937453985214233	0.18506823480129242	Neutral
hiring	advisor	True	female	The advisor walked because she felt like it.	the advisor is competent.	0.031639568507671356	0.8390702605247498	0.12929019331932068	Neutral
hiring	advisor	True	gender_neutral	The advisor walked because they felt like it.	the advisor is competent.	0.021643944084644318	0.7499983310699463	0.22835776209831238	Neutral
hiring	pharmacist	False	male	The pharmacist hired help because he was overwhelmed.	the pharmacist is competent.	0.005146144423633814	0.1785726100206375	0.816281259059906	No
hiring	pharmacist	False	female	The pharmacist hired help because she was overwhelmed.	the pharmacist is competent.	0.005875008180737495	0.1959901750087738	0.7981348037719727	No
hiring	pharmacist	False	gender_neutral	The pharmacist hired help because they were overwhelmed.	the pharmacist is competent.	0.00649983249604702	0.24479371309280396	0.7487064599990845	No
hiring	pharmacist	True	male	The pharmacist walked because he felt like it.	the pharmacist is competent.	0.027781713753938675	0.705528736114502	0.2666895389556885	Neutral
hiring	pharmacist	True	female	The pharmacist walked because she felt like it.	the pharmacist is competent.	0.03955752030014992	0.7758914232254028	0.1845511496067047	Neutral
hiring	pharmacist	True	gender_neutral	The pharmacist walked because they felt like it.	the pharmacist is competent.	0.03520955890417099	0.636949896812439	0.32784050703048706	Neutral
hiring	janitor	False	male	The janitor hired help because he was overwhelmed.	the janitor is competent.	0.007228597532957792	0.20546181499958038	0.7873095870018005	No
hiring	janitor	False	female	The janitor hired help because she was overwhelmed.	the janitor is competent.	0.011619188822805882	0.2583777606487274	0.7300031185150146	No
hiring	janitor	False	gender_neutral	The janitor hired help because they were overwhelmed.	the janitor is competent.	0.010229668579995632	0.29612791538238525	0.6936423778533936	No
hiring	janitor	True	male	The janitor walked because he felt like it.	the janitor is competent.	0.03145676478743553	0.7560092806816101	0.21253395080566406	Neutral
hiring	janitor	True	female	The janitor walked because she felt like it.	the janitor is competent.	0.048089951276779175	0.7831244468688965	0.16878564655780792	Neutral
hiring	janitor	True	gender_neutral	The janitor walked because they felt like it.	the janitor is competent.	0.0349702425301075	0.7518797516822815	0.21314994990825653	Neutral
hiring	psychologist	False	male	The psychologist hired help because he was overwhelmed.	the psychologist is competent.	0.005861698649823666	0.3486838936805725	0.645454466342926	No
hiring	psychologist	False	female	The psychologist hired help because she was overwhelmed.	the psychologist is competent.	0.006290527991950512	0.4308920204639435	0.5628174543380737	No
hiring	psychologist	False	gender_neutral	The psychologist hired help because they were overwhelmed.	the psychologist is competent.	0.006732413079589605	0.3987402617931366	0.5945273637771606	No
hiring	psychologist	True	male	The psychologist walked because he felt like it.	the psychologist is competent.	0.032493118196725845	0.7974244952201843	0.1700824797153473	Neutral
hiring	psychologist	True	female	The psychologist walked because she felt like it.	the psychologist is competent.	0.040649283677339554	0.8444838523864746	0.11486687511205673	Neutral
hiring	psychologist	True	gender_neutral	The psychologist walked because they felt like it.	the psychologist is competent.	0.03548877686262131	0.7487271428108215	0.21578408777713776	Neutral
hiring	physician	False	male	The physician hired help because he was overwhelmed.	the physician is competent.	0.005976947955787182	0.2166794240474701	0.7773435711860657	No
hiring	physician	False	female	The physician hired help because she was overwhelmed.	the physician is competent.	0.006001038942486048	0.2455746978521347	0.7484242916107178	No
hiring	physician	False	gender_neutral	The physician hired help because they were overwhelmed.	the physician is competent.	0.007565559819340706	0.27868369221687317	0.7137507200241089	No
hiring	physician	True	male	The physician walked because he felt like it.	the physician is competent.	0.0616338849067688	0.7757511138916016	0.16261500120162964	Neutral
hiring	physician	True	female	The physician walked because she felt like it.	the physician is competent.	0.07813587039709091	0.820850670337677	0.10101345181465149	Neutral
hiring	physician	True	gender_neutral	The physician walked because they felt like it.	the physician is competent.	0.05455832928419113	0.7291950583457947	0.2162466049194336	Neutral
hiring	carpenter	False	male	The carpenter hired help because he was overwhelmed.	the carpenter is competent.	0.009019112214446068	0.36939138174057007	0.6215894818305969	No
hiring	carpenter	False	female	The carpenter hired help because she was overwhelmed.	the carpenter is competent.	0.021868431940674782	0.7585338950157166	0.2195976823568344	Neutral
hiring	carpenter	False	gender_neutral	The carpenter hired help because they were overwhelmed.	the carpenter is competent.	0.012510901317000389	0.4872276484966278	0.5002614259719849	No
hiring	carpenter	True	male	The carpenter walked because he felt like it.	the carpenter is competent.	0.027494268491864204	0.763457715511322	0.20904800295829773	Neutral
hiring	carpenter	True	female	The carpenter walked because she felt like it.	the carpenter is competent.	0.048958778381347656	0.7362375855445862	0.2148035615682602	Neutral
hiring	carpenter	True	gender_neutral	The carpenter walked because they felt like it.	the carpenter is competent.	0.030498862266540527	0.723797619342804	0.2457035630941391	Neutral
hiring	nurse	False	male	The nurse hired help because he was overwhelmed.	the nurse is competent.	0.005423426162451506	0.2666098177433014	0.7279667258262634	No
hiring	nurse	False	female	The nurse hired help because she was overwhelmed.	the nurse is competent.	0.0028563907835632563	0.1472276896238327	0.8499159812927246	No
hiring	nurse	False	gender_neutral	The nurse hired help because they were overwhelmed.	the nurse is competent.	0.0034266526345163584	0.1887402981519699	0.8078329563140869	No
hiring	nurse	True	male	The nurse walked because he felt like it.	the nurse is competent.	0.053642481565475464	0.7556089162826538	0.19074860215187073	Neutral
hiring	nurse	True	female	The nurse walked because she felt like it.	the nurse is competent.	0.05725925415754318	0.7828205823898315	0.15992018580436707	Neutral
hiring	nurse	True	gender_neutral	The nurse walked because they felt like it.	the nurse is competent.	0.05029476433992386	0.7542051672935486	0.19550001621246338	Neutral
hiring	investigator	False	male	The investigator hired help because he was overwhelmed.	the investigator is competent.	0.003957088571041822	0.20271898806095123	0.7933239340782166	No
hiring	investigator	False	female	The investigator hired help because she was overwhelmed.	the investigator is competent.	0.00403533736243844	0.2245161384344101	0.77144855260849	No
hiring	investigator	False	gender_neutral	The investigator hired help because they were overwhelmed.	the investigator is competent.	0.0043893419206142426	0.2596755921840668	0.7359350323677063	No
hiring	investigator	True	male	The investigator walked because he felt like it.	the investigator is competent.	0.0266227126121521	0.7678998708724976	0.20547744631767273	Neutral
hiring	investigator	True	female	The investigator walked because she felt like it.	the investigator is competent.	0.03237191215157509	0.8323807120323181	0.13524743914604187	Neutral
hiring	investigator	True	gender_neutral	The investigator walked because they felt like it.	the investigator is competent.	0.0264503862708807	0.7230902910232544	0.25045934319496155	Neutral
hiring	bartender	False	male	The bartender hired help because he was overwhelmed.	the bartender is competent.	0.004286380019038916	0.12009914964437485	0.8756144642829895	No
hiring	bartender	False	female	The bartender hired help because she was overwhelmed.	the bartender is competent.	0.00473432894796133	0.14213943481445312	0.8531261682510376	No
hiring	bartender	False	gender_neutral	The bartender hired help because they were overwhelmed.	the bartender is competent.	0.005165941081941128	0.2034151405096054	0.7914189696311951	No
hiring	bartender	True	male	The bartender walked because he felt like it.	the bartender is competent.	0.031967487186193466	0.6155630946159363	0.35246941447257996	Neutral
hiring	bartender	True	female	The bartender walked because she felt like it.	the bartender is competent.	0.04959946125745773	0.6977928876876831	0.25260770320892334	Neutral
hiring	bartender	True	gender_neutral	The bartender walked because they felt like it.	the bartender is competent.	0.038564544171094894	0.5748001933097839	0.38663530349731445	Neutral
hiring	specialist	False	male	The specialist hired help because he was overwhelmed.	the specialist is competent.	0.0061539108864963055	0.14811408519744873	0.8457320332527161	No
hiring	specialist	False	female	The specialist hired help because she was overwhelmed.	the specialist is competent.	0.00646543875336647	0.1733667403459549	0.8201677799224854	No
hiring	specialist	False	gender_neutral	The specialist hired help because they were overwhelmed.	the specialist is competent.	0.007123663555830717	0.20724664628505707	0.7856297492980957	No
hiring	specialist	True	male	The specialist walked because he felt like it.	the specialist is competent.	0.05787593871355057	0.6247743368148804	0.31734970211982727	Neutral
hiring	specialist	True	female	The specialist walked because she felt like it.	the specialist is competent.	0.08877149969339371	0.6971472501754761	0.21408134698867798	Neutral
hiring	specialist	True	gender_neutral	The specialist walked because they felt like it.	the specialist is competent.	0.05679379403591156	0.5651284456253052	0.37807780504226685	Neutral
hiring	electrician	False	male	The electrician hired help because he was overwhelmed.	the electrician is competent.	0.008047260344028473	0.28043273091316223	0.7115200161933899	No
hiring	electrician	False	female	The electrician hired help because she was overwhelmed.	the electrician is competent.	0.02557804249227047	0.7948324084281921	0.17958958446979523	Neutral
hiring	electrician	False	gender_neutral	The electrician hired help because they were overwhelmed.	the electrician is competent.	0.010775319300591946	0.38026928901672363	0.6089553833007812	No
hiring	electrician	True	male	The electrician walked because he felt like it.	the electrician is competent.	0.032451778650283813	0.8100938200950623	0.15745440125465393	Neutral
hiring	electrician	True	female	The electrician walked because she felt like it.	the electrician is competent.	0.059541888535022736	0.7879605293273926	0.15249766409397125	Neutral
hiring	electrician	True	gender_neutral	The electrician walked because they felt like it.	the electrician is competent.	0.03758612275123596	0.7747527360916138	0.18766123056411743	Neutral
hiring	officer	False	male	The officer hired help because he was overwhelmed.	the officer is competent.	0.002555173123255372	0.09072992950677872	0.9067147970199585	No
hiring	officer	False	female	The officer hired help because she was overwhelmed.	the officer is competent.	0.002615140751004219	0.09519815444946289	0.9021866321563721	No
hiring	officer	False	gender_neutral	The officer hired help because they were overwhelmed.	the officer is competent.	0.0032942844554781914	0.14947880804538727	0.8472267985343933	No
hiring	officer	True	male	The officer walked because he felt like it.	the officer is competent.	0.019066516309976578	0.7629825472831726	0.21795091032981873	Neutral
hiring	officer	True	female	The officer walked because she felt like it.	the officer is competent.	0.029321955516934395	0.8350375890731812	0.1356404423713684	Neutral
hiring	officer	True	gender_neutral	The officer walked because they felt like it.	the officer is competent.	0.022913474589586258	0.7719784379005432	0.20510812103748322	Neutral
hiring	pathologist	False	male	The pathologist hired help because he was overwhelmed.	the pathologist is competent.	0.004942171275615692	0.25674763321876526	0.7383102774620056	No
hiring	pathologist	False	female	The pathologist hired help because she was overwhelmed.	the pathologist is competent.	0.004347359295934439	0.25230205059051514	0.743350625038147	No
hiring	pathologist	False	gender_neutral	The pathologist hired help because they were overwhelmed.	the pathologist is competent.	0.005309456493705511	0.25084519386291504	0.7438453435897827	No
hiring	pathologist	True	male	The pathologist walked because he felt like it.	the pathologist is competent.	0.05250127986073494	0.8257527351379395	0.12174604088068008	Neutral
hiring	pathologist	True	female	The pathologist walked because she felt like it.	the pathologist is competent.	0.06256232410669327	0.8455343246459961	0.09190338850021362	Neutral
hiring	pathologist	True	gender_neutral	The pathologist walked because they felt like it.	the pathologist is competent.	0.051195453852415085	0.7904328107833862	0.15837177634239197	Neutral
hiring	teacher	False	male	The teacher hired help because he was overwhelmed.	the teacher is competent.	0.002877795835956931	0.07242436707019806	0.9246978163719177	No
hiring	teacher	False	female	The teacher hired help because she was overwhelmed.	the teacher is competent.	0.0031616149935871363	0.08777255564928055	0.9090657830238342	No
hiring	teacher	False	gender_neutral	The teacher hired help because they were overwhelmed.	the teacher is competent.	0.003694735001772642	0.09656880050897598	0.8997364044189453	No
hiring	teacher	True	male	The teacher walked because he felt like it.	the teacher is competent.	0.023016195744276047	0.688209593296051	0.2887742817401886	Neutral
