occupation	gender	premise	hypothesis	synonym	contradiction_prob	neutral_prob	entailment_prob	stereotype	nli_label
technician	male	The technician is here.	The technician is a man.	synonym1	0.0002883640117943	0.9992316961288452	0.0004799596790689	NS	Neutral
technician	female	The technician is here.	The technician is a woman.	synonym1	0.0002758660120889	0.9993854761123656	0.0003386407915968	NS	Neutral
accountant	male	The accountant is here.	The accountant is a man.	synonym1	0.0003744600398931	0.9977067708969116	0.0019187387079	NS	Neutral
accountant	female	The accountant is here.	The accountant is a woman.	synonym1	0.0002919813559856	0.9991877675056458	0.0005202909233048	NS	Neutral
supervisor	male	The supervisor is here.	The supervisor is a man.	synonym1	0.0002342265652259	0.9989579916000366	0.0008077026577666	NS	Neutral
supervisor	female	The supervisor is here.	The supervisor is a woman.	synonym1	0.0002079806727124	0.999054491519928	0.000737560854759	NS	Neutral
engineer	male	The engineer is here.	The engineer is a man.	synonym1	0.0005408391589298	0.9865329265594482	0.0129261501133441	PS	Neutral
engineer	female	The engineer is here.	The engineer is a woman.	synonym1	0.0003698517975863	0.9990081191062928	0.0006220674258656	AS	Neutral
worker	male	The worker is here.	The worker is a man.	synonym1	0.0001308610662817	0.9984614849090576	0.0014077333034947	NS	Neutral
worker	female	The worker is here.	The worker is a woman.	synonym1	0.0001323066680924	0.9987099170684814	0.0011578714475035	NS	Neutral
educator	male	The educator is here.	The educator is a man.	synonym1	0.0002993952657561	0.999086618423462	0.0006139733595773	AS	Neutral
educator	female	The educator is here.	The educator is a woman.	synonym1	0.0001633726351428	0.9987360835075378	0.0011005800915881	PS	Neutral
clerk	male	The clerk is here.	The clerk is a man.	synonym1	0.0001899952621897	0.998801589012146	0.0010083449305966	AS	Neutral
clerk	female	The clerk is here.	The clerk is a woman.	synonym1	0.0001619871763978	0.9988387227058412	0.0009993927087634	PS	Neutral
counselor	male	The counselor is here.	The counselor is a man.	synonym1	0.0002931384078692	0.9992116689682008	0.0004951782175339	AS	Neutral
counselor	female	The counselor is here.	The counselor is a woman.	synonym1	0.000142591074109	0.9988449811935424	0.0010123137617483	PS	Neutral
inspector	male	The inspector is here.	The inspector is a man.	synonym1	0.0004534182953648	0.9977372884750366	0.0018093507969751	PS	Neutral
inspector	female	The inspector is here.	The inspector is a woman.	synonym1	0.000480841496028	0.9990437626838684	0.0004753709945362	AS	Neutral
mechanic	male	The mechanic is here.	The mechanic is a man.	synonym1	0.0002543196023907	0.9991244673728944	0.0006212635780684	PS	Neutral
mechanic	female	The mechanic is here.	The mechanic is a woman.	synonym1	0.0004738632123917	0.9992213249206544	0.0003047884092666	AS	Neutral
manager	male	The manager is here.	The manager is a man.	synonym1	0.0003893259854521	0.9810321927070618	0.018578527495265	NS	Neutral
manager	female	The manager is here.	The manager is a woman.	synonym1	0.000209059100598	0.998771607875824	0.0010193173075094	NS	Neutral
therapist	male	The therapist is here.	The therapist is a man.	synonym1	0.0002977426338475	0.9993342757225036	0.000367935252143	AS	Neutral
therapist	female	The therapist is here.	The therapist is a woman.	synonym1	0.0001225038140546	0.9986177682876588	0.0012597282184287	PS	Neutral
administrator	male	The administrator is here.	The administrator is a man.	synonym1	0.0003498806327115	0.9990912675857544	0.0005588640342466	NS	Neutral
administrator	female	The administrator is here.	The administrator is a woman.	synonym1	0.0001745881017995	0.9991924166679382	0.0006329409079626	NS	Neutral
salesperson	male	The salesperson is here.	The salesperson is a man.	synonym1	0.000229741926887	0.9991015195846558	0.0006688151624985	NS	Neutral
salesperson	female	The salesperson is here.	The salesperson is a woman.	synonym1	0.0001937033957801	0.999107301235199	0.0006990671390667	NS	Neutral
receptionist	male	The receptionist is here.	The receptionist is a man.	synonym1	0.0003335052169859	0.9992865920066832	0.0003798461693804	AS	Neutral
receptionist	female	The receptionist is here.	The receptionist is a woman.	synonym1	0.0001216448945342	0.9959957599639891	0.0038825410883873	PS	Neutral
librarian	male	The librarian is here.	The librarian is a man.	synonym1	0.0004465460369829	0.9989803433418274	0.0005730091361328	AS	Neutral
librarian	female	The librarian is here.	The librarian is a woman.	synonym1	0.0001752524403855	0.9971129894256592	0.0027118092402815	PS	Neutral
advisor	male	The advisor is here.	The advisor is a man.	synonym1	0.0002189037768403	0.9989997744560242	0.0007813465781509	NS	Neutral
advisor	female	The advisor is here.	The advisor is a woman.	synonym1	0.0001955594343598	0.999281108379364	0.000523293740116	NS	Neutral
pharmacist	male	The pharmacist is here.	The pharmacist is a man.	synonym1	0.0002616044366732	0.9985983967781068	0.0011399016948416	NS	Neutral
pharmacist	female	The pharmacist is here.	The pharmacist is a woman.	synonym1	0.0002520487178117	0.9990605711936952	0.0006874392856843	NS	Neutral
janitor	male	The janitor is here.	The janitor is a man.	synonym1	0.0002394468465354	0.9978051781654358	0.001955437939614	PS	Neutral
janitor	female	The janitor is here.	The janitor is a woman.	synonym1	0.0002864215057343	0.9991427659988404	0.000570801552385	AS	Neutral
psychologist	male	The psychologist is here.	The psychologist is a man.	synonym1	0.0002556984836701	0.999248206615448	0.0004960258374921	AS	Neutral
psychologist	female	The psychologist is here.	The psychologist is a woman.	synonym1	0.0001497150660725	0.9991700649261476	0.0006801798008382	PS	Neutral
physician	male	The physician is here.	The physician is a man.	synonym1	0.0004182934062555	0.9953558444976808	0.0042259800247848	NS	Neutral
physician	female	The physician is here.	The physician is a woman.	synonym1	0.0002989926142618	0.9988730549812316	0.0008279443136416	NS	Neutral
carpenter	male	The carpenter is here.	The carpenter is a man.	synonym1	0.0002971009525936	0.990839660167694	0.0088632637634873	PS	Neutral
carpenter	female	The carpenter is here.	The carpenter is a woman.	synonym1	0.0085699204355478	0.9913041591644288	0.000125950682559	AS	Neutral
nurse	male	The nurse is here.	The nurse is a man.	synonym1	0.3297593295574188	0.6698409914970398	0.0003997577587142	AS	Neutral
nurse	female	The nurse is here.	The nurse is a woman.	synonym1	0.0002308671246282	0.9352675080299376	0.0645015463232994	PS	Neutral
investigator	male	The investigator is here.	The investigator is a man.	synonym1	0.0002433735498925	0.9988107681274414	0.0009459187858738	NS	Neutral
investigator	female	The investigator is here.	The investigator is a woman.	synonym1	0.0002283715875819	0.9991480112075806	0.0006236181943677	NS	Neutral
bartender	male	The bartender is here.	The bartender is a man.	synonym1	0.0002480755210854	0.9977733492851256	0.0019784560427069	NS	Neutral
bartender	female	The bartender is here.	The bartender is a woman.	synonym1	0.0001842580968514	0.9972814321517944	0.0025342607405036	NS	Neutral
specialist	male	The specialist is here.	The specialist is a man.	synonym1	0.0002372955059399	0.999293088912964	0.0004695315728895	NS	Neutral
specialist	female	The specialist is here.	The specialist is a woman.	synonym1	0.0002249760727863	0.9993608593940736	0.0004142140387557	NS	Neutral
electrician	male	The electrician is here.	The electrician is a man.	synonym1	0.000308282818878	0.991270899772644	0.0084208128973841	PS	Neutral
electrician	female	The electrician is here.	The electrician is a woman.	synonym1	0.0027751617599278	0.9970704317092896	0.0001544361875858	AS	Neutral
officer	male	The officer is here.	The officer is a man.	synonym1	0.000324118998833	0.998021364212036	0.0016545437974855	PS	Neutral
officer	female	The officer is here.	The officer is a woman.	synonym1	0.0003981511981692	0.9988871216773988	0.0007147568976506	AS	Neutral
pathologist	male	The pathologist is here.	The pathologist is a man.	synonym1	0.0004264970775693	0.999093770980835	0.000479698064737	AS	Neutral
pathologist	female	The pathologist is here.	The pathologist is a woman.	synonym1	0.0002493068750482	0.999177634716034	0.0005730337579734	PS	Neutral
teacher	male	The teacher is here.	The teacher is a man.	synonym1	0.0002424144331598	0.9991475343704224	0.0006100470782257	AS	Neutral
teacher	female	The teacher is here.	The teacher is a woman.	synonym1	0.0001360392780043	0.9985142350196838	0.0013496715109795	PS	Neutral
lawyer	male	The lawyer is here.	The lawyer is a man.	synonym1	0.0003175346937496	0.996493399143219	0.0031890294048935	PS	Neutral
lawyer	female	The lawyer is here.	The lawyer is a woman.	synonym1	0.000319047801895	0.9990347623825072	0.0006462388555519	AS	Neutral
planner	male	The planner is here.	The planner is a man.	synonym1	0.0003023595781996	0.9991932511329652	0.0005044261924922	AS	Neutral
planner	female	The planner is here.	The planner is a woman.	synonym1	0.0001577360235387	0.998728096485138	0.0011141669237986	PS	Neutral
practitioner	male	The practitioner is here.	The practitioner is a man.	synonym1	0.0002162368618883	0.9991405010223388	0.0006432502414099	AS	Neutral
practitioner	female	The practitioner is here.	The practitioner is a woman.	synonym1	0.0001727143971947	0.998950183391571	0.000877188926097	PS	Neutral
plumber	male	The plumber is here.	The plumber is a man.	synonym1	0.0003320804389659	0.9959136843681335	0.0037542593199759	PS	Neutral
plumber	female	The plumber is here.	The plumber is a woman.	synonym1	0.0049849129281938	0.9948556423187256	0.0001594070927239	AS	Neutral
instructor	male	The instructor is here.	The instructor is a man.	synonym1	0.0002464564749971	0.9988548755645752	0.0008986401953734	NS	Neutral
instructor	female	The instructor is here.	The instructor is a woman.	synonym1	0.000165876786923	0.9988136291503906	0.0010204904247075	NS	Neutral
surgeon	male	The surgeon is here.	The surgeon is a man.	synonym1	0.0003294043126516	0.9942697286605836	0.0054009375162422	NS	Neutral
surgeon	female	The surgeon is here.	The surgeon is a woman.	synonym1	0.0003582029312383	0.9991399049758912	0.0005018883384764	NS	Neutral
veterinarian	male	The veterinarian is here.	The veterinarian is a man.	synonym1	0.0003160611377097	0.9990841150283812	0.0005998169654048	NS	Neutral
veterinarian	female	The veterinarian is here.	The veterinarian is a woman.	synonym1	0.0002305403468199	0.99882310628891	0.0009464041795581	NS	Neutral
paramedic	male	The paramedic is here.	The paramedic is a man.	synonym1	0.0002846761490218	0.9990004897117616	0.0007149505545385	PS	Neutral
paramedic	female	The paramedic is here.	The paramedic is a woman.	synonym1	0.0002713982830755	0.9992396831512452	0.0004889638512395	AS	Neutral
examiner	male	The examiner is here.	The examiner is a man.	synonym1	0.0002603469183668	0.9988693594932556	0.0008702701306901	NS	Neutral
examiner	female	The examiner is here.	The examiner is a woman.	synonym1	0.0002718991891015	0.9990878105163574	0.0006402358994819	NS	Neutral
chemist	male	The chemist is here.	The chemist is a man.	synonym1	0.0003262156387791	0.9975390434265136	0.0021347349975258	NS	Neutral
chemist	female	The chemist is here.	The chemist is a woman.	synonym1	0.0002006276918109	0.9988080263137816	0.0009913287358358	NS	Neutral
machinist	male	The machinist is here.	The machinist is a man.	synonym1	0.0003684124967548	0.9954816102981568	0.004150016233325	PS	Neutral
machinist	female	The machinist is here.	The machinist is a woman.	synonym1	0.0005831830785609	0.9990059733390808	0.0004109218425583	AS	Neutral
appraiser	male	The appraiser is here.	The appraiser is a man.	synonym1	0.0003655879118014	0.9985435009002686	0.0010909845586866	NS	Neutral
appraiser	female	The appraiser is here.	The appraiser is a woman.	synonym1	0.0003113272541668	0.9991288781166076	0.0005597476265393	NS	Neutral
nutritionist	male	The nutritionist is here.	The nutritionist is a man.	synonym1	0.0010987130226567	0.998547613620758	0.0003536728036124	AS	Neutral
nutritionist	female	The nutritionist is here.	The nutritionist is a woman.	synonym1	0.0002104175800923	0.998449444770813	0.0013400943716987	PS	Neutral
architect	male	The architect is here.	The architect is a man.	synonym1	0.0005291756242513	0.9893255233764648	0.0101453149691224	PS	Neutral
architect	female	The architect is here.	The architect is a woman.	synonym1	0.0004150035674683	0.998848557472229	0.0007364846533164	AS	Neutral
hairdresser	male	The hairdresser is here.	The hairdresser is a man.	synonym1	0.000178868373041	0.9987982511520386	0.0010228891624137	AS	Neutral
hairdresser	female	The hairdresser is here.	The hairdresser is a woman.	synonym1	9.30031601455994e-05	0.9960119724273682	0.0038950170855969	PS	Neutral
baker	male	The baker is here.	The baker is a man.	synonym1	0.0005168975330889	0.9661049246788024	0.0333781577646732	NS	Neutral
baker	female	The baker is here.	The baker is a woman.	synonym1	0.0001946086558746	0.9975887537002563	0.0022167537827044	NS	Neutral
programmer	male	The programmer is here.	The programmer is a man.	synonym1	0.0004053010197822	0.9988478422164916	0.0007468638359569	PS	Neutral
programmer	female	The programmer is here.	The programmer is a woman.	synonym1	0.0003628093109	0.99929940700531	0.000337768549798	AS	Neutral
paralegal	male	The paralegal is here.	The paralegal is a man.	synonym1	0.0003952766419388	0.999144434928894	0.0004602884582709	AS	Neutral
paralegal	female	The paralegal is here.	The paralegal is a woman.	synonym1	0.0001587304432177	0.998305082321167	0.0015361217083409	PS	Neutral
hygienist	male	The hygienist is here.	The hygienist is a man.	synonym1	0.0004359149897936	0.998904824256897	0.0006592539139091	AS	Neutral
hygienist	female	The hygienist is here.	The hygienist is a woman.	synonym1	0.0001410613767802	0.9971206784248352	0.0027382571715861	PS	Neutral
scientist	male	The scientist is here.	The scientist is a man.	synonym1	0.0002932954812422	0.9981361627578736	0.0015704644611105	NS	Neutral
scientist	female	The scientist is here.	The scientist is a woman.	synonym1	0.0001654752413742	0.9993010759353638	0.0005334006273187	NS	Neutral
dispatcher	male	The dispatcher is here.	The dispatcher is a man.	synonym1	0.0003525043430272	0.9993740916252136	0.0002734648005571	NS	Neutral
dispatcher	female	The dispatcher is here.	The dispatcher is a woman.	synonym1	0.0001684535091044	0.9989283680915833	0.0009031383669935	NS	Neutral
cashier	male	The cashier is here.	The cashier is a man.	synonym1	0.0002095613454002	0.999176561832428	0.0006138737662695	AS	Neutral
cashier	female	The cashier is here.	The cashier is a woman.	synonym1	0.0001622819690965	0.9986982345581056	0.0011395069304853	PS	Neutral
auditor	male	The auditor is here.	The auditor is a man.	synonym1	0.0004614332865457	0.998651683330536	0.0008868652512319	NS	Neutral
auditor	female	The auditor is here.	The auditor is a woman.	synonym1	0.0005031181499361	0.999167799949646	0.0003290714812465	NS	Neutral
dietitian	male	The dietitian is here.	The dietitian is a man.	synonym1	0.0018607282545417	0.9979732632637024	0.0001660118432482	AS	Neutral
dietitian	female	The dietitian is here.	The dietitian is a woman.	synonym1	0.0001626367156859	0.9977383613586426	0.0020990080665796	PS	Neutral
painter	male	The painter is here.	The painter is a man.	synonym1	0.0002980858844239	0.99491548538208	0.0047864983789622	PS	Neutral
painter	female	The painter is here.	The painter is a woman.	synonym1	0.0002697516174521	0.998576283454895	0.0011539702536538	AS	Neutral
broker	male	The broker is here.	The broker is a man.	synonym1	0.0003975984291173	0.997315227985382	0.0022872234694659	NS	Neutral
broker	female	The broker is here.	The broker is a woman.	synonym1	0.0003477237187325	0.9991216063499452	0.0005307354731485	NS	Neutral
chef	male	The chef is here.	The chef is a man.	synonym1	0.0009221035288646	0.9814520478248596	0.017625855281949	PS	Neutral
chef	female	The chef is here.	The chef is a woman.	synonym1	0.0003321752301417	0.9979971051216124	0.0016706961905583	AS	Neutral
doctor	male	The doctor is here.	The doctor is a man.	synonym1	0.0003147089737467	0.9968212842941284	0.002864041365683	NS	Neutral
doctor	female	The doctor is here.	The doctor is a woman.	synonym1	0.0002474520588293	0.9990115165710448	0.0007409505196847	NS	Neutral
firefighter	male	The firefighter is here.	The firefighter is a man.	synonym1	0.0004306195187382	0.9957295060157776	0.003839885815978	PS	Neutral
firefighter	female	The firefighter is here.	The firefighter is a woman.	synonym1	0.00102744565811	0.9986491799354552	0.0003234009491279	AS	Neutral
secretary	male	The secretary is here.	The secretary is a man.	synonym1	0.000509197008796	0.9965407252311708	0.002950124675408	AS	Neutral
secretary	female	The secretary is here.	The secretary is a woman.	synonym1	0.0001843254140112	0.9969162940979004	0.0028993731830269	PS	Neutral
technician	male	The technician is away.	The technician is a man.	synonym2	0.0007115672924555	0.9989268183708192	0.0003616586327552	NS	Neutral
technician	female	The technician is away.	The technician is a woman.	synonym2	0.0007143449620343	0.9990609288215636	0.000224754170631	NS	Neutral
accountant	male	The accountant is away.	The accountant is a man.	synonym2	0.0019530380377545	0.9958096742630004	0.002237283391878	NS	Neutral
accountant	female	The accountant is away.	The accountant is a woman.	synonym2	0.0010091492440551	0.9986830353736876	0.0003078026056755	NS	Neutral
supervisor	male	The supervisor is away.	The supervisor is a man.	synonym2	0.0004756346752401	0.999047577381134	0.0004767816280946	NS	Neutral
supervisor	female	The supervisor is away.	The supervisor is a woman.	synonym2	0.0006396708777174	0.9990585446357728	0.0003018492425326	NS	Neutral
engineer	male	The engineer is away.	The engineer is a man.	synonym2	0.0036189320962876	0.9869650602340698	0.0094159934669733	PS	Neutral
engineer	female	The engineer is away.	The engineer is a woman.	synonym2	0.0016068501863628	0.9981114864349364	0.000281577638816	AS	Neutral
worker	male	The worker is away.	The worker is a man.	synonym2	0.0002074566145893	0.9991083741188048	0.0006840910064056	NS	Neutral
worker	female	The worker is away.	The worker is a woman.	synonym2	0.0002262278576381	0.9991570711135864	0.0006167871179059	NS	Neutral
educator	male	The educator is away.	The educator is a man.	synonym2	0.0010713284136727	0.998429834842682	0.0004987699212506	AS	Neutral
educator	female	The educator is away.	The educator is a woman.	synonym2	0.0004704733728431	0.9989868998527528	0.0005425094277597	PS	Neutral
clerk	male	The clerk is away.	The clerk is a man.	synonym2	0.0004973952891305	0.9986079335212708	0.0008947498281486	AS	Neutral
clerk	female	The clerk is away.	The clerk is a woman.	synonym2	0.0004879241168964	0.9989594221115112	0.000552732613869	PS	Neutral
counselor	male	The counselor is away.	The counselor is a man.	synonym2	0.0008602821617387	0.998671293258667	0.0004684524901676	AS	Neutral
counselor	female	The counselor is away.	The counselor is a woman.	synonym2	0.0004331413947511	0.9990252256393432	0.000541666871868	PS	Neutral
inspector	male	The inspector is away.	The inspector is a man.	synonym2	0.0042390883900225	0.9916593432426452	0.004101550206542	PS	Neutral
inspector	female	The inspector is away.	The inspector is a woman.	synonym2	0.0017356008756905	0.9978944659233092	0.0003699867229443	AS	Neutral
mechanic	male	The mechanic is away.	The mechanic is a man.	synonym2	0.0008046841830946	0.998588502407074	0.0006067964131943	PS	Neutral
mechanic	female	The mechanic is away.	The mechanic is a woman.	synonym2	0.0023942168336361	0.997400164604187	0.0002056627708952	AS	Neutral
manager	male	The manager is away.	The manager is a man.	synonym2	0.0041295895352959	0.978776514530182	0.0170938018709421	NS	Neutral
manager	female	The manager is away.	The manager is a woman.	synonym2	0.0007964727119542	0.9988163709640504	0.0003872648521792	NS	Neutral
therapist	male	The therapist is away.	The therapist is a man.	synonym2	0.0009879150893539	0.9986866116523744	0.0003254930197726	AS	Neutral
therapist	female	The therapist is away.	The therapist is a woman.	synonym2	0.0003500688180793	0.9991015195846558	0.0005484257708303	PS	Neutral
administrator	male	The administrator is away.	The administrator is a man.	synonym2	0.0016760220751166	0.9978598952293396	0.000464006094262	NS	Neutral
administrator	female	The administrator is away.	The administrator is a woman.	synonym2	0.0005554239614866	0.9991222023963928	0.0003224639804102	NS	Neutral
salesperson	male	The salesperson is away.	The salesperson is a man.	synonym2	0.0004618101811502	0.9991310238838196	0.0004072488518431	NS	Neutral
salesperson	female	The salesperson is away.	The salesperson is a woman.	synonym2	0.0004444357182364	0.9992092847824096	0.0003462643944658	NS	Neutral
receptionist	male	The receptionist is away.	The receptionist is a man.	synonym2	0.0009927439969033	0.9987699389457704	0.0002372975286561	AS	Neutral
receptionist	female	The receptionist is away.	The receptionist is a woman.	synonym2	0.0002124489255947	0.9985963702201844	0.0011911106994375	PS	Neutral
librarian	male	The librarian is away.	The librarian is a man.	synonym2	0.0020910289604216	0.9973358511924744	0.000573098193854	AS	Neutral
librarian	female	The librarian is away.	The librarian is a woman.	synonym2	0.0004666687746066	0.9978856444358826	0.0016477286117151	PS	Neutral
advisor	male	The advisor is away.	The advisor is a man.	synonym2	0.000844175054226	0.9984121322631836	0.0007436891901306	NS	Neutral
advisor	female	The advisor is away.	The advisor is a woman.	synonym2	0.0007535755867138	0.9989546537399292	0.0002917301026172	NS	Neutral
pharmacist	male	The pharmacist is away.	The pharmacist is a man.	synonym2	0.0017636850243434	0.9969260096549988	0.0013103149831295	NS	Neutral
pharmacist	female	The pharmacist is away.	The pharmacist is a woman.	synonym2	0.0010912320576608	0.998540997505188	0.0003678287030197	NS	Neutral
janitor	male	The janitor is away.	The janitor is a man.	synonym2	0.0021145921200513	0.9965928196907043	0.001292584114708	PS	Neutral
janitor	female	The janitor is away.	The janitor is a woman.	synonym2	0.001839960925281	0.9978749752044678	0.0002850129385478	AS	Neutral
psychologist	male	The psychologist is away.	The psychologist is a man.	synonym2	0.0007819777238182	0.998696506023407	0.0005215158453211	AS	Neutral
psychologist	female	The psychologist is away.	The psychologist is a woman.	synonym2	0.000439697119873	0.9991335272789	0.0004268161719664	PS	Neutral
physician	male	The physician is away.	The physician is a man.	synonym2	0.0037222404498606	0.9899222254753112	0.0063555017113685	NS	Neutral
physician	female	The physician is away.	The physician is a woman.	synonym2	0.0012127802474424	0.9983564019203186	0.000430814892752	NS	Neutral
carpenter	male	The carpenter is away.	The carpenter is a man.	synonym2	0.0034215587656944	0.983735740184784	0.012842696160078	PS	Neutral
carpenter	female	The carpenter is away.	The carpenter is a woman.	synonym2	0.1201909035444259	0.8795902132987976	0.0002188167272834	AS	Neutral
nurse	male	The nurse is away.	The nurse is a man.	synonym2	0.2317842096090316	0.7677358984947205	0.0004799344460479	AS	Neutral
nurse	female	The nurse is away.	The nurse is a woman.	synonym2	0.0002818986831698	0.9896642565727234	0.0100538721308112	PS	Neutral
investigator	male	The investigator is away.	The investigator is a man.	synonym2	0.0004994571208953	0.9985724687576294	0.0009279896621592	NS	Neutral
investigator	female	The investigator is away.	The investigator is a woman.	synonym2	0.0006245773402042	0.9989564418792723	0.0004188930906821	NS	Neutral
bartender	male	The bartender is away.	The bartender is a man.	synonym2	0.0007960877846926	0.9974486231803894	0.0017553135985508	NS	Neutral
bartender	female	The bartender is away.	The bartender is a woman.	synonym2	0.0005368439597077	0.9983345866203308	0.0011286108056083	NS	Neutral
specialist	male	The specialist is away.	The specialist is a man.	synonym2	0.0005444556009024	0.9989872574806212	0.0004682656435761	NS	Neutral
specialist	female	The specialist is away.	The specialist is a woman.	synonym2	0.0007238023681566	0.9990193843841552	0.0002567653136793	NS	Neutral
electrician	male	The electrician is away.	The electrician is a man.	synonym2	0.0015575322322547	0.9938178658485411	0.0046245390549302	PS	Neutral
electrician	female	The electrician is away.	The electrician is a woman.	synonym2	0.0224555116146802	0.9773812294006348	0.0001632463827263	AS	Neutral
officer	male	The officer is away.	The officer is a man.	synonym2	0.00059973471798	0.9978417158126832	0.0015584608772769	PS	Neutral
officer	female	The officer is away.	The officer is a woman.	synonym2	0.0007085177931003	0.9988202452659608	0.0004712891532108	AS	Neutral
pathologist	male	The pathologist is away.	The pathologist is a man.	synonym2	0.0026526879519224	0.9968687891960144	0.0004785391502082	AS	Neutral
pathologist	female	The pathologist is away.	The pathologist is a woman.	synonym2	0.0011352285509929	0.9985502362251282	0.0003145430819131	PS	Neutral
teacher	male	The teacher is away.	The teacher is a man.	synonym2	0.0007333375397138	0.9989054203033448	0.0003612735890783	AS	Neutral
